Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:46830000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
46830000;1;01/12/2018;;1;1;153,461;94,887;125,346;13;26;1;1;1;0;0;122,988;119,799;120,86;122,988;124,588;128,336;135,893;142,982;147,377;147,929;148,48;151,244;153,461;152,352;150,137;148,48;145,726;135,351;123,521;118,74;116,627;113,471;105,652;100,499;95,902;94,887;102,04;102,04;99,474;105,135;108,767;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/11/2018;;1;1;113,471;89,336;103,654;18;25;1;1;1;;0;96,92;96,411;95,902;95,902;95,394;94,887;96,92;101,526;106,17;107,207;110,331;111,376;111,376;111,376;111,376;111,899;112,946;113,471;113,471;110,331;108,767;107,207;103,585;94,887;89,336;89,336;96,411;103,07;103,585;108,247;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/10/2018;;1;1;102,04;67,322;79,161;24;1;1;1;1;0;0;67,322;67,322;67,322;67,798;68,275;68,275;69,23;69,23;69,23;69,23;69,23;69,23;69,23;69,23;69,23;69,709;73,077;77,45;79,9;80,884;82,364;87,333;99,474;102,04;102,04;95,902;93,873;92,861;94,887;95,902;96,92;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/09/2018;;1;1;70,188;66,371;68,898;1;29;1;1;1;;0;70,188;70,188;70,188;70,188;69,709;69,23;69,709;70,188;70,188;70,188;70,188;70,188;70,188;69,23;69,23;69,23;69,23;69,23;68,752;68,275;68,275;68,275;67,798;67,322;67,322;67,322;67,322;66,846;66,371;66,371;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/08/2018;;1;1;75,987;70,188;73,751;17;31;1;1;1;;0;75,015;75,015;75,015;74,529;74,045;74,045;74,045;73,561;73,077;73,077;73,077;73,077;73,077;73,077;74,045;75,015;75,987;75,987;75,987;75,501;75,015;75,015;74,045;74,045;73,561;73,077;72,112;71,149;71,149;70,668;70,188;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/07/2018;;1;1;76,962;75,015;76,239;1;27;1;1;1;0;0;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,962;76,474;75,987;75,987;75,987;75,987;75,987;75,987;75,987;75,987;75,987;75,987;75,987;75,501;75,015;75,015;75,015;75,015;75,015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/06/2018;;1;1;81,87;76,962;79,723;1;29;1;1;1;;0;81,87;81,87;81,87;81,87;81,87;81,87;81,87;80,884;80,884;80,884;80,884;79,9;79,9;79,9;78,918;78,918;78,918;78,918;78,918;78,918;78,918;78,918;78,918;78,918;78,918;77,939;77,939;77,45;76,962;76,962;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/05/2018;;1;1;93,873;81,87;86,617;1;31;1;1;1;;0;93,873;91,851;90,843;90,34;89,838;88,834;88,834;88,834;87,833;87,333;86,834;87,333;86,834;87,333;86,335;86,834;86,335;85,837;84,842;84,842;84,842;84,345;84,842;84,842;84,842;84,345;83,849;83,849;83,353;82,364;81,87;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
46830000;1;01/04/2018;;1;1;148,051;86,658;115,25;1;29;1;1;1;;0;148,051;138,703;130,694;121,739;114,081;114,081;113,001;107,652;101,87;104,484;114,081;118,436;123,957;130,694;135,824;137,549;138,703;137,549;132,966;126,75;117,342;109,247;102,391;98,246;95,176;92,139;90,633;87,151;86,658;87,646;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
46830000;1;01/03/2018;;1;1;180,445;106,592;138,309;19;8;1;1;1;;0;114,081;114,081;114,081;112,462;110,315;108,183;107,652;106,592;107,652;111,387;114,622;117,342;123,402;136,398;151,609;155,195;161,843;178,554;180,445;176,044;170,439;163,673;157,602;153,399;149,826;146,871;145,108;147,461;148,051;150,42;152,801;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
