Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_5     109.978996      161.742493      473.579895      132.199997     
FLOW_OUT_5     101.774002      184.240005      558.893921      139.800003     
FLOW_OUT_5     99.994003       140.042511      354.370026      138.300003     
FLOW_OUT_5     90.882004       130.801376      290.527527      145.399994     
FLOW_OUT_5     86.063004       50.520699       190.215988      143.399994     
FLOW_OUT_5     78.551003       11.637604       141.746765      139.800003     
FLOW_OUT_5     74.111000       7.325062        125.051010      136.600006     
FLOW_OUT_5     73.124001       6.535952        108.308792      133.800003     
FLOW_OUT_5     71.053001       6.839191        81.505600       131.399994     
FLOW_OUT_5     73.754997       17.870796       61.674004       129.300003     
FLOW_OUT_5     84.476997       71.134995       173.195023      132.500000     
FLOW_OUT_5     83.272003       73.896667       161.798920      132.699997     
FLOW_OUT_5     123.435997      171.324997      986.187439      149.000000     
FLOW_OUT_5     160.904007      359.753326      800.040100      179.699997     
FLOW_OUT_5     143.772995      380.280029      624.925720      190.000000     
FLOW_OUT_5     116.551003      83.280663       408.689270      191.300003     
FLOW_OUT_5     90.805000       33.329998       270.240051      184.000000     
FLOW_OUT_5     84.077003       21.959223       198.556992      177.199997     
FLOW_OUT_5     81.091003       17.547188       173.319504      171.300003     
FLOW_OUT_5     79.216003       16.258751       149.936493      165.800003     
FLOW_OUT_5     75.492996       12.626697       130.785797      161.000000     
FLOW_OUT_5     76.132004       39.386982       109.400002      156.899994     
FLOW_OUT_5     79.073997       60.082500       210.310501      156.300003     
FLOW_OUT_5     96.598999       145.660004      375.723114      165.399994     
FLOW_OUT_5     99.561996       176.182495      427.570038      169.000000     
FLOW_OUT_5     120.515999      276.266663      663.513794      191.800003     
FLOW_OUT_5     125.375999      317.622467      615.681152      193.899994     
FLOW_OUT_5     96.605003       193.016937      369.641693      191.899994     
FLOW_OUT_5     96.135002       185.758331      325.513336      188.600006     
FLOW_OUT_5     81.167999       28.203386       236.827484      183.699997     
FLOW_OUT_5     73.149002       14.859089       174.912262      177.500000     
FLOW_OUT_5     70.487000       11.816220       162.264877      172.000000     
FLOW_OUT_5     67.818001       10.895897       135.853989      167.199997     
FLOW_OUT_5     66.156998       10.623095       117.263000      163.100006     
FLOW_OUT_5     81.001999       91.121994       353.993988      162.600006     
FLOW_OUT_5     98.285004       186.057510      486.902954      177.600006     
FLOW_OUT_5     80.279999       67.456245       264.848267      184.100006     
FLOW_OUT_5     88.827003       79.435204       191.987000      190.600006     
FLOW_OUT_5     103.494003      174.490631      372.066620      186.600006     
FLOW_OUT_5     133.492004      219.429993      476.835449      199.300003     
FLOW_OUT_5     89.421997       69.561623       228.231476      199.000000     
FLOW_OUT_5     78.535004       17.086660       173.139984      194.000000     
FLOW_OUT_5     75.129997       10.750317       138.228500      186.699997     
FLOW_OUT_5     70.802002       6.779403        110.462395      179.800003     
FLOW_OUT_5     70.443001       8.861502        91.087509       173.600006     
FLOW_OUT_5     77.031998       60.577499       150.742538      169.899994     
FLOW_OUT_5     91.403000       120.384377      387.155426      174.600006     
FLOW_OUT_5     84.430000       159.125000      312.460022      181.899994     
FLOW_OUT_5     86.445000       85.901810       199.591522      181.000000     
FLOW_OUT_5     113.406998      266.885010      953.736328      207.199997     
FLOW_OUT_5     90.661003       73.886925       336.677948      213.800003     
FLOW_OUT_5     81.072998       20.276400       202.689972      205.199997     
FLOW_OUT_5     76.716003       11.895943       171.918671      196.600006     
FLOW_OUT_5     73.822998       9.756554        134.840302      188.600006     
FLOW_OUT_5     72.205002       7.704513        107.328629      181.199997     
FLOW_OUT_5     69.399002       6.959566        86.213951       174.100006     
FLOW_OUT_5     67.642998       6.244322        70.602402       167.500000     
FLOW_OUT_5     67.375000       5.967619        52.377300       161.199997     
FLOW_OUT_5     71.778999       17.417856       90.823074       155.899994     
FLOW_OUT_5     85.105003       66.140419       201.226425      156.500000     
FLOW_OUT_5     80.768997       89.842186       206.938553      156.100006     
FLOW_OUT_5     112.328003      144.781250      480.858063      163.500000     
FLOW_OUT_5     105.635002      205.466675      738.673523      169.399994     
FLOW_OUT_5     95.301003       196.470001      469.049957      180.699997     
FLOW_OUT_5     75.069000       27.890472       242.945313      173.899994     
FLOW_OUT_5     68.665001       17.411757       178.446014      165.500000     
FLOW_OUT_5     66.158997       10.916775       147.057999      157.800003     
FLOW_OUT_5     63.034000       7.442314        131.450943      150.600006     
FLOW_OUT_5     59.566002       5.879387        102.437103      144.000000     
FLOW_OUT_5     58.995998       5.362599        84.733986       137.899994     
FLOW_OUT_5     71.190002       58.719006       214.718231      134.300003     
FLOW_OUT_5     99.884003       156.832504      639.818726      143.600006     
FLOW_OUT_5     92.268997       253.009995      440.629944      159.199997     
FLOW_OUT_5     90.408997       174.612503      320.912567      166.300003     
FLOW_OUT_5     90.303001       182.664764      273.921997      159.000000     
FLOW_OUT_5     104.511002      154.504532      265.859955      164.699997     
FLOW_OUT_5     109.186996      96.890411       245.253357      169.199997     
FLOW_OUT_5     82.772003       45.277344       179.244019      166.800003     
FLOW_OUT_5     73.747002       7.696490        146.930237      160.600006     
FLOW_OUT_5     68.806000       4.613587        120.553604      154.300003     
FLOW_OUT_5     65.360001       4.231013        90.747612       148.600006     
FLOW_OUT_5     80.262001       44.509377       189.999985      145.500000     
FLOW_OUT_5     102.580002      94.889000       203.186005      150.899994     
FLOW_OUT_5     99.560997       152.589996      483.444916      157.199997     
FLOW_OUT_5     101.781998      142.354462      268.473358      166.000000     
FLOW_OUT_5     83.176003       91.504456       203.153656      169.699997     
FLOW_OUT_5     114.884003      196.570831      705.831848      172.899994     
FLOW_OUT_5     99.110001       127.122223      363.779999      176.600006     
FLOW_OUT_5     80.171997       16.093081       211.648727      169.199997     
FLOW_OUT_5     73.596001       7.562367        161.169983      161.300003     
FLOW_OUT_5     69.749001       5.763727        137.037613      154.100006     
FLOW_OUT_5     67.543999       5.505905        108.345215      147.500000     
FLOW_OUT_5     65.007004       4.848000        86.764809       141.600006     
FLOW_OUT_5     70.981003       29.302084       198.681427      136.899994     
FLOW_OUT_5     92.458000       92.029335       357.584351      136.899994     
FLOW_OUT_5     92.349998       134.262497      313.700012      141.500000     
FLOW_OUT_5     111.265999      231.967484      399.608704      156.699997     
FLOW_OUT_5     105.507004      230.837509      511.712585      165.300003     
FLOW_OUT_5     128.684998      255.913330      457.560059      169.300003     
FLOW_OUT_5     101.973000      120.944710      277.199951      169.000000     
FLOW_OUT_5     82.876999       22.584707       187.571518      161.800003     
FLOW_OUT_5     77.370003       14.893465       153.360016      155.100006     
FLOW_OUT_5     71.866997       9.350764        130.769348      149.100006     
FLOW_OUT_5     67.556000       7.059576        112.633141      143.500000     
FLOW_OUT_5     63.776001       6.057734        98.531189       138.399994     
FLOW_OUT_5     80.899002       83.253754       262.922485      137.600006     
FLOW_OUT_5     95.538002       156.237503      346.033295      150.600006     
FLOW_OUT_5     122.667000      281.169983      1213.665894     170.300003     
FLOW_OUT_5     121.376999      420.640015      856.293396      190.000000     
FLOW_OUT_5     102.834999      208.575012      467.662506      188.100006     
FLOW_OUT_5     95.661003       133.558929      283.796692      181.800003     
FLOW_OUT_5     84.300003       149.775009      240.334976      174.699997     
FLOW_OUT_5     78.522003       50.802242       206.240219      168.300003     
FLOW_OUT_5     73.586998       20.797327       183.058014      163.199997     
FLOW_OUT_5     69.658997       13.864450       161.114700      158.899994     
FLOW_OUT_5     65.477997       13.990083       144.636017      155.500000     
FLOW_OUT_5     63.127998       10.954032       124.182007      152.600006     
FLOW_OUT_5     61.589001       9.754836        93.973984       150.399994     
FLOW_OUT_5     97.120003       128.316666      612.622253      157.399994     
FLOW_OUT_5     95.475998       162.643753      358.512421      167.600006     
FLOW_OUT_5     101.635002      217.005005      700.432861      174.899994     
FLOW_OUT_5     90.003998       151.085297      452.786591      197.800003     
FLOW_OUT_5     87.129997       171.739990      308.292480      187.500000     
FLOW_OUT_5     96.345001       195.433334      329.539978      188.300003     
FLOW_OUT_5     74.023003       33.967308       216.240021      185.600006     
FLOW_OUT_5     69.414001       18.760902       169.272263      180.899994     
FLOW_OUT_5     65.561996       10.385942       147.443802      176.600006     
FLOW_OUT_5     62.048000       10.989567       128.158234      172.699997     
FLOW_OUT_5     59.383999       8.117760        104.602409      169.100006     
FLOW_OUT_5     60.785999       37.733906       88.014000       166.500000     
