
FLOW_OUT_5
observed    simulated
109.9790      132.2000    
101.7740      139.8000    
99.9940       138.3000    
90.8820       145.4000    
86.0630       143.4000    
78.5510       139.8000    
74.1110       136.6000    
73.1240       133.8000    
71.0530       131.4000    
73.7550       129.3000    
84.4770       132.5000    
83.2720       132.7000    
123.4360      149.0000    
160.9040      179.7000    
143.7730      190.0000    
116.5510      191.3000    
90.8050       184.0000    
84.0770       177.2000    
81.0910       171.3000    
79.2160       165.8000    
75.4930       161.0000    
76.1320       156.9000    
79.0740       156.3000    
96.5990       165.4000    
99.5620       169.0000    
120.5160      191.8000    
125.3760      193.9000    
96.6050       191.9000    
96.1350       188.6000    
81.1680       183.7000    
73.1490       177.5000    
70.4870       172.0000    
67.8180       167.2000    
66.1570       163.1000    
81.0020       162.6000    
98.2850       177.6000    
80.2800       184.1000    
88.8270       190.6000    
103.4940      186.6000    
133.4920      199.3000    
89.4220       199.0000    
78.5350       194.0000    
75.1300       186.7000    
70.8020       179.8000    
70.4430       173.6000    
77.0320       169.9000    
91.4030       174.6000    
84.4300       181.9000    
86.4450       181.0000    
113.4070      207.2000    
90.6610       213.8000    
81.0730       205.2000    
76.7160       196.6000    
73.8230       188.6000    
72.2050       181.2000    
69.3990       174.1000    
67.6430       167.5000    
67.3750       161.2000    
71.7790       155.9000    
85.1050       156.5000    
80.7690       156.1000    
112.3280      163.5000    
105.6350      169.4000    
95.3010       180.7000    
75.0690       173.9000    
68.6650       165.5000    
66.1590       157.8000    
63.0340       150.6000    
59.5660       144.0000    
58.9960       137.9000    
71.1900       134.3000    
99.8840       143.6000    
92.2690       159.2000    
90.4090       166.3000    
90.3030       159.0000    
104.5110      164.7000    
109.1870      169.2000    
82.7720       166.8000    
73.7470       160.6000    
68.8060       154.3000    
65.3600       148.6000    
80.2620       145.5000    
102.5800      150.9000    
99.5610       157.2000    
101.7820      166.0000    
83.1760       169.7000    
114.8840      172.9000    
99.1100       176.6000    
80.1720       169.2000    
73.5960       161.3000    
69.7490       154.1000    
67.5440       147.5000    
65.0070       141.6000    
70.9810       136.9000    
92.4580       136.9000    
92.3500       141.5000    
111.2660      156.7000    
105.5070      165.3000    
128.6850      169.3000    
101.9730      169.0000    
82.8770       161.8000    
77.3700       155.1000    
71.8670       149.1000    
67.5560       143.5000    
63.7760       138.4000    
80.8990       137.6000    
95.5380       150.6000    
122.6670      170.3000    
121.3770      190.0000    
102.8350      188.1000    
95.6610       181.8000    
84.3000       174.7000    
78.5220       168.3000    
73.5870       163.2000    
69.6590       158.9000    
65.4780       155.5000    
63.1280       152.6000    
61.5890       150.4000    
97.1200       157.4000    
95.4760       167.6000    
101.6350      174.9000    
90.0040       197.8000    
87.1300       187.5000    
96.3450       188.3000    
74.0230       185.6000    
69.4140       180.9000    
65.5620       176.6000    
62.0480       172.7000    
59.3840       169.1000    
60.7860       166.5000    
69.1870       167.7000    
121.2570      197.2000    
97.5910       222.8000    
99.1680       228.5000    
108.6530      223.6000    
104.9610      226.3000    
81.9690       221.0000    
76.6550       214.3000    
73.3320       208.1000    
68.8760       202.2000    
66.4410       196.7000    
65.7790       191.5000    
89.2070       194.3000    
106.6060      215.6000    
74.6720       229.5000    
96.5150       252.6000    
96.8010       238.1000    
99.2570       233.1000    
95.3480       234.0000    
71.9200       223.7000    
67.8870       214.3000    
63.9540       205.6000    
60.9060       197.9000    
61.5180       191.2000    
71.0310       186.4000    
70.9530       187.2000    
175.7110      212.9000    
105.1710      250.2000    
76.0500       243.8000    
67.7340       233.6000    
64.0980       223.0000    
63.2090       213.3000    
60.8510       204.4000    
58.6750       196.0000    
57.9710       188.4000    
64.8990       186.3000    
67.6710       182.7000    
72.3900       186.1000    


FLOW_OUT_8
observed    simulated
112.9440      111.4000    
105.2220      122.7000    
103.3690      120.6000    
91.0360       113.7000    
87.1050       115.8000    
78.1160       115.8000    
75.1050       115.8000    
73.2110       115.4000    
71.1600       114.7000    
75.0940       114.1000    
88.2590       114.6000    
87.7980       114.6000    
129.8580      148.4000    
155.6480      128.7000    
147.1940      145.2000    
110.4850      127.8000    
90.2040       127.4000    
83.6840       126.9000    
80.3340       126.4000    
77.2660       125.6000    
74.0310       124.5000    
76.9090       123.4000    
81.5610       122.0000    
101.5710      121.4000    
105.0480      139.6000    
128.1380      167.1000    
140.5870      182.8000    
112.7090      133.0000    
108.8820      150.0000    
87.6050       136.3000    
80.1460       136.3000    
76.4750       136.1000    
75.3980       135.8000    
73.6350       135.0000    
96.7830       202.1000    
110.6210      198.8000    
89.3460       143.6000    
103.1240      147.1000    
117.2040      146.0000    
132.1260      143.4000    
90.5430       143.2000    
78.2420       140.6000    
74.6510       137.7000    
70.9860       134.7000    
71.2220       131.4000    
78.8370       129.5000    
96.3220       164.1000    
88.7260       133.7000    
89.6150       132.7000    
121.1220      304.3000    
87.6750       144.2000    
79.2310       141.5000    
73.0190       138.2000    
70.1330       134.9000    
68.8620       131.3000    
65.7200       127.5000    
62.8120       123.6000    
62.9680       119.5000    
68.2940       115.4000    
83.3320       117.0000    
81.7570       111.6000    
114.4890      111.1000    
108.2680      136.9000    
97.4680       115.3000    
78.1470       112.0000    
71.4580       108.8000    
68.9080       105.8000    
67.0030       102.9000    
66.2630       100.0000    
65.2250       97.2000     
81.0190       110.3000    
108.6720      176.9000    
98.4650       158.9000    
94.4580       118.8000    
96.6000       152.9000    
108.0460      116.7000    
109.6270      118.9000    
83.2420       118.0000    
74.5360       116.4000    
69.3870       114.5000    
66.9900       112.3000    
88.5370       110.3000    
107.0190      109.7000    
106.4290      118.8000    
103.9140      115.2000    
82.9710       116.1000    
116.1610      112.4000    
95.5940       111.4000    
77.4020       109.2000    
71.6720       107.3000    
69.2040       105.6000    
67.3190       103.8000    
64.8450       101.9000    
75.2910       100.1000    
97.0190       126.8000    
97.6400       105.4000    
113.0820      103.9000    
108.7010      183.3000    
124.2440      112.7000    
98.2280       112.3000    
79.6270       110.9000    
74.5330       109.3000    
71.4900       107.6000    
68.7280       105.7000    
65.4720       103.7000    
85.5210       102.0000    
101.0650      132.1000    
122.5550      169.0000    
124.5080      165.5000    
103.0800      162.6000    
96.7100       122.0000    
83.6590       124.2000    
78.9570       126.7000    
73.4100       129.2000    
70.2990       131.2000    
68.1580       132.8000    
66.4260       133.8000    
65.6750       134.2000    
105.0240      191.6000    
95.5000       144.0000    
104.8340      162.8000    
83.6420       152.4000    
88.6220       153.5000    
90.2760       150.9000    
73.4490       150.2000    
70.1640       149.3000    
67.6570       148.3000    
65.3750       146.9000    
63.2670       145.1000    
67.8700       144.0000    
75.1570       146.9000    
117.3780      404.6000    
86.3430       175.2000    
91.9650       204.7000    
95.3200       202.4000    
95.8340       174.9000    
76.9900       172.7000    
71.2550       169.7000    
68.6150       166.6000    
65.7290       163.1000    
63.7430       159.5000    
63.7320       155.6000    
85.4720       199.8000    
96.1840       208.2000    
74.5600       157.2000    
94.3170       170.0000    
91.7070       163.8000    
94.4230       170.8000    
89.8730       161.3000    
70.4150       155.4000    
66.1930       152.9000    
62.6070       150.3000    
59.5130       147.5000    
60.7220       144.6000    
72.1220       141.8000    
69.0980       154.7000    
151.0890      237.4000    
95.5890       157.2000    
79.4910       156.3000    
70.3260       152.0000    
66.6660       148.8000    
66.0140       145.6000    
64.9810       142.3000    
63.6120       138.8000    
63.5070       135.2000    
69.4980       132.9000    
75.2940       130.9000    
79.0260       178.9000    


FLOW_OUT_11
observed    simulated
39.1010       14.2200     
38.6700       15.4500     
38.1700       15.8500     
33.5580       16.7900     
31.6440       16.2300     
27.1390       14.1200     
25.8880       12.1300     
24.9200       10.3900     
23.9820       8.9270      
25.9440       8.3150      
31.2850       9.4420      
31.1420       10.3300     
45.5560       13.9000     
57.9310       21.1900     
55.2720       23.1300     
38.8160       24.1300     
32.3900       20.9500     
29.1750       18.0300     
28.2260       15.5200     
26.8700       13.3300     
25.3170       11.4700     
26.7310       10.1600     
29.1320       9.0310      
36.9620       9.2340      
38.5460       11.4600     
44.1700       17.5600     
50.1100       22.1400     
39.7700       23.6200     
38.8940       22.3800     
31.5420       21.0600     
29.6500       18.1100     
27.7480       15.5300     
25.0950       13.3400     
24.4650       11.4700     
37.1020       12.8500     
39.7250       23.0400     
30.9230       24.4600     
35.9820       22.0300     
41.7110       20.5300     
46.0680       21.2000     
32.9430       20.5300     
28.5510       17.6700     
27.2250       15.1900     
25.5930       13.0100     
25.4500       11.1800     
27.2840       10.9000     
36.1190       14.3100     
34.5150       20.2200     
34.6710       20.8300     
48.2380       31.8800     
33.8680       37.5400     
29.9440       32.7100     
26.6870       28.2200     
22.9580       24.3400     
21.8560       20.9900     
21.1810       18.0600     
20.1260       15.5800     
20.5260       13.4400     
23.5660       11.7300     
29.4720       12.6700     
30.6150       13.7300     
42.3670       15.3800     
38.3140       19.3300     
35.6640       23.3400     
28.5760       20.1500     
23.1260       17.3300     
21.7630       14.9100     
20.9700       12.7900     
21.0160       11.0000     
20.8940       9.4830      
27.0300       10.0300     
41.1180       20.7500     
37.3010       30.0100     
36.2910       33.7000     
36.7570       31.8400     
43.5470       31.3600     
43.2500       30.2100     
30.5010       26.5400     
26.1820       22.8700     
23.7870       19.6500     
22.9580       16.9300     
34.9280       14.9900     
39.7540       15.3200     
40.9800       19.0100     
39.0730       19.2100     
30.8850       20.5800     
45.7950       20.7500     
33.9400       19.5000     
26.9950       16.8000     
25.5110       14.4500     
23.1620       12.4300     
22.5650       10.6600     
21.3690       9.1670      
27.7660       8.0220      
38.2440       10.1000     
43.5430       13.1900     
44.2510       15.7600     
40.9500       21.8200     
45.1110       26.1300     
41.7030       23.6300     
27.9510       20.4000     
26.7280       17.5600     
25.1360       15.1100     
23.4720       12.9700     
21.7890       11.1600     
28.9440       10.1600     
34.5350       13.8900     
40.9740       20.7300     
46.3770       28.1800     
41.5040       29.0700     
33.5430       27.9300     
28.9900       24.6100     
27.3620       21.5800     
25.4490       18.8500     
24.1670       16.2200     
23.2640       13.9200     
22.0800       11.9700     
22.8180       10.3100     
37.6450       14.8900     
34.0280       20.1100     
37.7190       18.8100     
29.9920       20.6800     
34.7380       19.1200     
33.8450       19.9200     
25.7470       17.2800     
24.0820       14.8700     
22.6960       12.7800     
21.1770       10.9600     
20.3620       9.4200      
21.9490       9.0450      
24.5050       9.7790      
40.3440       27.7300     
33.5520       43.7300     
36.4040       41.2800     
37.5030       42.0200     
37.6390       39.4100     
27.7750       34.8600     
24.0830       30.1800     
22.2260       26.0600     
20.7960       22.4500     
20.2720       19.3900     
20.2600       16.7500     
29.1440       19.1900     
42.6600       25.5600     
29.1820       27.0800     
37.2840       26.9500     
34.6460       25.2700     
46.5850       25.1000     
43.4870       27.6200     
28.0820       23.9800     
25.4620       20.7000     
24.5530       17.8200     
23.5000       15.3700     
24.6370       13.3300     
29.1350       13.7800     
59.1400       24.6200     
33.7960       30.6100     
31.1320       27.5200     
26.2590       24.3100     
24.8450       21.0100     
24.4140       18.1500     
23.9800       15.6900     
23.2660       11.6900     
25.1830       10.9100     
25.8500       11.8800     
27.2620       14.9800     


FLOW_OUT_13
observed    simulated
124.8170      120.8000    
111.4090      131.2000    
110.2510      131.3000    
100.3440      137.0000    
90.7470       140.2000    
82.0090       142.0000    
77.7070       142.9000    
75.0930       143.0000    
72.1360       143.0000    
75.3660       142.2000    
88.3740       141.6000    
85.5840       141.3000    
129.7620      141.7000    
180.6170      147.9000    
153.8980      157.9000    
130.3860      172.5000    
91.7540       177.1000    
82.9140       179.7000    
79.3720       180.6000    
76.0940       180.4000    
72.7280       179.3000    
74.0880       177.5000    
78.2840       176.6000    
103.8030      181.1000    
108.6410      181.7000    
133.5750      190.8000    
155.6000      192.1000    
119.7240      197.0000    
116.2750      199.1000    
98.6090       199.5000    
85.5870       198.6000    
79.9690       196.8000    
75.7080       194.3000    
74.0370       191.4000    
91.7310       189.6000    
118.3450      191.1000    
95.2490       192.7000    
106.6260      201.0000    
126.4260      198.5000    
169.4860      209.6000    
100.8780      216.1000    
84.3040       218.2000    
79.8320       217.6000    
75.0360       215.5000    
73.2300       212.5000    
79.1040       209.3000    
98.5220       208.5000    
91.0070       207.6000    
93.3970       207.4000    
125.1590      218.4000    
101.7880      216.5000    
86.3860       218.7000    
80.2920       218.6000    
76.1010       216.9000    
74.4990       214.1000    
72.0780       210.3000    
69.6360       206.0000    
68.7930       201.2000    
72.6230       196.6000    
92.9430       203.6000    
87.6580       203.5000    
127.0410      202.9000    
125.0490      208.8000    
118.4050      214.4000    
83.7340       215.1000    
78.1860       213.2000    
76.6650       209.9000    
71.9040       205.5000    
67.9780       200.3000    
66.1850       194.7000    
80.7180       189.2000    
115.0070      189.8000    
102.9270      195.0000    
100.5350      204.5000    
97.0730       197.0000    
119.5860      197.9000    
123.2160      200.2000    
87.8120       200.3000    
79.7210       198.5000    
74.4250       195.5000    
71.1380       191.7000    
86.0620       188.6000    
120.9360      187.0000    
114.0450      185.3000    
118.8340      187.0000    
91.8600       193.4000    
113.0350      189.2000    
98.7390       197.2000    
76.6420       198.8000    
71.5470       197.3000    
68.7250       194.6000    
66.3300       190.8000    
63.2270       186.4000    
69.0570       181.7000    
95.9140       179.0000    
96.7210       178.9000    
111.8750      179.5000    
106.0780      187.3000    
131.2530      188.2000    
101.4160      192.5000    
77.7270       191.9000    
72.5310       189.9000    
68.4010       186.9000    
64.9210       183.2000    
61.6340       179.0000    
78.6810       176.7000    
94.2190       180.2000    
121.9480      187.6000    
117.7420      193.2000    
102.5620      197.6000    
93.1270       199.5000    
83.7330       199.8000    
75.7880       199.1000    
71.2410       196.8000    
67.5620       193.9000    
64.8180       190.4000    
63.2050       186.9000    
63.1340       183.2000    
95.6880       182.3000    
96.7890       185.1000    
95.0230       188.4000    
92.1630       199.8000    
81.0110       194.7000    
94.7260       198.8000    
71.9090       202.2000    
67.2500       201.9000    
64.4030       200.5000    
61.7460       198.5000    
59.5830       196.0000    
63.5910       193.2000    
71.0680       192.0000    
115.6520      200.8000    
98.8160       218.2000    
86.3950       231.4000    
99.1830       227.5000    
96.2770       231.8000    
75.0900       235.8000    
69.1130       236.5000    
65.8710       235.6000    
63.1750       233.7000    
59.9710       230.9000    
60.2790       227.5000    
82.6670       226.0000    
98.9630       229.5000    
98.2020       234.7000    
120.4870      251.4000    
119.3490      247.0000    
121.3640      249.3000    
122.9950      253.5000    
91.8190       252.9000    
86.4500       250.5000    
81.5970       246.8000    
77.0300       242.2000    
77.7940       237.0000    
91.6290       232.1000    
95.1280       229.3000    
214.3280      236.8000    
90.5170       269.9000    
80.6420       271.5000    
74.7590       270.6000    
73.4620       267.7000    
70.5190       257.9000    
70.2910       251.7000    
81.9200       245.3000    
85.6050       239.8000    
93.2600       238.1000    


FLOW_OUT_14
observed    simulated
330.7380      254.9000    
313.4500      270.9000    
289.3300      273.2000    
284.3600      281.2000    
229.1830      287.9000    
203.0150      294.2000    
189.4540      300.0000    
184.5430      305.4000    
178.0160      310.2000    
184.8610      314.5000    
225.8590      319.0000    
221.5750      323.3000    
302.8080      357.8000    
444.4710      406.9000    
430.5840      395.7000    
423.5850      377.0000    
286.1140      389.4000    
228.8880      400.5000    
213.4720      410.4000    
202.5810      419.0000    
189.0590      426.2000    
190.7190      432.4000    
211.9960      438.1000    
293.9400      444.2000    
288.1670      459.1000    
341.1490      482.8000    
397.9120      472.2000    
371.0750      479.8000    
312.1870      487.5000    
261.0810      494.3000    
221.4350      500.5000    
203.5280      505.9000    
189.6700      510.5000    
188.7720      514.4000    
230.6960      520.2000    
319.8360      523.1000    
321.5930      527.5000    
275.2890      550.8000    
331.5280      536.4000    
423.5490      549.9000    
364.9800      553.0000    
267.5340      560.3000    
234.3960      566.4000    
214.3870      571.5000    
200.4640      575.4000    
230.2430      578.1000    
301.3690      581.8000    
287.8400      594.1000    
273.7050      585.8000    
319.0320      684.8000    
326.4190      594.4000    
236.4650      597.1000    
204.7360      598.9000    
