no_pars=  9
no_Sims=  100
type_of_goal_fn= Nash_Sutcliff
Sim_No.     1:V__GW_REVAP.gw   2:V__ESCO.hru   3:V__CH_N2.rte   4:V__CH_K2.rte   5:V__ALPHA_BNK.rte   6:R__SOL_AWC(..).sol   7:R__SOL_K(..).sol   8:R__SOL_BD(..).sol   9:V__SFTMP.bsn goal_value
1       0.0830   0.9750   0.1575 129.3750   0.4150   0.1930   0.5200   0.4185   3.4500  -187.155453
2       0.1350   0.9550   0.1455 110.6250   0.3250   0.2350  -0.7760   0.1325   2.0500  -149.981046
3       0.0690   0.9490   0.2475  86.8750   0.8450  -0.0050   0.6960   0.2535  -3.4500  -157.622861
4       0.0010   0.8510   0.1215 121.8750   0.7950   0.3130   0.7920  -0.3845  -4.9500  -105.251903
5       0.1390   0.8550   0.0465  15.6250   0.8350  -0.0290  -0.2800  -0.4065  -4.3500  -118.034554
6       0.0490   0.8590   0.2265  95.6250   0.6750   0.0790  -0.0880  -0.0435  -4.7500  -104.931835
7       0.1570   0.8570   0.1875  59.3750   0.3650   0.3370  -0.2960  -0.1425   4.6500  -99.798630
8       0.1170   0.8470   0.2025  41.8750   0.2550   0.2710   0.4080  -0.0875  -1.6500  -97.540269
9       0.1250   0.8410   0.1095  23.1250   0.1850   0.3010  -0.7280   0.4295  -3.8500  -125.074252
10      0.1290   0.8050   0.2925  90.6250   0.3750  -0.0470   0.0080   0.5945   1.7500  -107.566184
11      0.0110   0.9250   0.0555  74.3750   0.2850   0.1630  -0.3760  -0.4835  -0.4500  -150.201164
12      0.0910   0.9930   0.0855 119.3750   0.1950   0.0730   0.2640   0.2645   2.5500  -197.536422
13      0.1630   0.8750   0.1545  96.8750   0.7750  -0.0710  -0.1840   0.1215   0.4500  -121.258743
14      0.0550   0.9230   0.0495  33.1250   0.9150   0.1330  -0.4240   0.5175  -0.1500  -204.208802
15      0.1230   0.9910   0.0915  65.6250   0.5650  -0.0770  -0.1040  -0.0545  -3.0500  -182.260014
16      0.1830   0.9290   0.1485  69.3750   0.9550  -0.0350  -0.1360   0.4625   2.9500  -164.108109
17      0.1910   0.9210   0.0765 113.1250   0.6050   0.2410   0.4880  -0.3625   3.8500  -138.969456
18      0.0850   0.8330   0.1755  60.6250   0.0150   0.0070   0.7280  -0.2745  -2.8500  -43.448209
19      0.0730   0.8610   0.0885  63.1250   0.9350   0.1090  -0.5040  -0.1095   4.2500  -119.506144
20      0.0090   0.8530   0.0615 101.8750   0.8050   0.2530   0.1520   0.1985   4.7500  -147.207847
21      0.0050   0.8230   0.1815  26.8750   0.7550   0.0190   0.2160  -0.3295  -4.0500  -90.728042
22      0.1070   0.9430   0.1425  25.6250   0.0750  -0.1910  -0.3440   0.5725   0.2500  -148.910090
23      0.1850   0.8950   0.1665  98.1250   0.7450   0.0250  -0.3280   0.3525   2.1500  -139.704476
24      0.1650   0.9070   0.2775  91.8750   0.9050  -0.1370   0.6160   0.3195   0.8500  -140.605454
25      0.0430   0.9810   0.1845  20.6250   0.7650   0.2470   0.0720  -0.1205  -2.7500  -156.793151
26      0.0330   0.8490   0.1635  24.3750   0.5150   0.3430  -0.5840   0.0885   0.9500  -109.838121
27      0.0370   0.9770   0.2955  66.8750   0.2950   0.1390   0.4720  -0.1315   4.9500  -142.405417
28      0.0950   0.9270   0.1395  76.8750   0.7250   0.2290   0.3120   0.3635  -2.9500  -160.487173
29      0.0530   0.8810   0.0435  55.6250   0.8950   0.2830   0.4400   0.4515  -1.3500  -197.879247
30      0.1430   0.9030   0.2655  70.6250   0.8750   0.0130  -0.2000  -0.2305  -3.7500  -110.732611
31      0.0770   0.8010   0.2085  50.6250   0.3950   0.2950  -0.7600   0.3305   0.3500  -103.747149
32      0.0250   0.8270   0.1155 114.3750   0.5350  -0.0890  -0.5520   0.0445   3.5500  -108.763380
33      0.1990   0.9170   0.1905  38.1250   0.6350  -0.1250   0.6800  -0.4505  -0.8500  -97.487981
34      0.0710   0.9570   0.0645  83.1250   0.8150   0.3910   0.3600  -0.2525  -4.1500  -168.260372
35      0.1890   0.9310   0.1035 109.3750   0.0350  -0.1670  -0.0240   0.1105  -0.5500  -101.776488
36      0.0070   0.8150   0.2115 123.1250   0.0550   0.1750   0.0560  -0.3515   1.9500  -60.129802
37      0.0230   0.8790   0.0165 105.6250   0.6850  -0.0950   0.7600   0.1875   3.1500  -324.904584
38      0.0450   0.8070   0.1935 126.8750   0.9850   0.3550  -0.6640   0.3085  -4.2500  -108.371031
39      0.0670   0.9150   0.1725  21.8750   0.1550   0.0370  -0.6160   0.1655  -0.0500  -126.601225
40      0.1470   0.8170   0.0735  81.8750   0.2150   0.0850   0.2480   0.0555  -2.3500  -117.290588
41      0.1370   0.8030   0.0705 103.1250   0.2650  -0.1790   0.5040  -0.3075  -2.5500  -93.407968
42      0.0890   0.9010   0.1515  19.3750   0.2250  -0.0110  -0.6320  -0.4285   2.4500  -87.850651
43      0.1150   0.9870   0.1005  64.3750   0.3850  -0.1070   0.1040  -0.1535  -2.1500  -165.685364
44      0.0750   0.9690   0.0315  61.8750   0.9950   0.1510  -0.7120  -0.4395  -0.3500  -220.875441
45      0.1190   0.8110   0.1125  93.1250   0.7850  -0.0230   0.5520  -0.0985  -3.5500  -104.344858
46      0.0470   0.8090   0.2355  99.3750   0.2350   0.3670   0.4560   0.4955   1.8500  -107.030453
47      0.0590   0.8710   0.2805 116.8750   0.4350   0.3970  -0.0720   0.5835  -1.1500  -127.862100
48      0.1810   0.9130   0.2745  68.1250   0.3450   0.0310  -0.1520   0.4405   4.3500  -141.392799
49      0.1770   0.9450   0.1065  46.8750   0.4950   0.3850  -0.2640   0.0225  -4.5500  -151.846654
50      0.0130   0.9710   0.0135 108.1250   0.0250   0.0550   0.5680  -0.2195  -4.4500  -395.695471
51      0.0810   0.9390   0.0255  14.3750   0.4650  -0.1490  -0.7920   0.5615  -3.2500  -284.166209
52      0.0970   0.8450   0.2055  45.6250   0.1350   0.2650   0.2960  -0.1865   0.5500  -85.884431
53      0.0930   0.8350   0.2445 125.6250   0.0050   0.2170   0.7120  -0.0765  -0.6500  -34.787263
54      0.1410   0.8250   0.2565  89.3750   0.1650  -0.0410  -0.6960  -0.0325  -1.9500  -83.003030
55      0.1010   0.8830   0.2205  18.1250   0.6250   0.1810  -0.2320   0.5505   2.2500  -137.036772
56      0.0030   0.9190   0.2835  56.8750   0.3550  -0.0530   0.1680   0.2425   2.6500  -133.941134
57      0.1870   0.8650   0.2295  44.3750   0.1050   0.2890   0.3440   0.5285  -4.8500  -112.289910
58      0.1690   0.9110   0.0795  11.8750   0.8250  -0.1970  -0.3600   0.0115   3.6500  -141.468981
59      0.1090   0.8690   0.2895 104.3750   0.6650   0.1690  -0.7440  -0.3955  -1.8500  -93.801556
60      0.1130   0.9090   0.2175  31.8750   0.8850  -0.1850  -0.1200   0.0995   3.0500  -128.460707
61      0.1330   0.9670   0.2235  53.1250   0.1150   0.0910  -0.2480   0.2205   1.0500  -140.637769
62      0.1530   0.9350   0.0585 100.6250   0.4550   0.3730  -0.6000  -0.0655   0.7500  -166.567578
63      0.0630   0.8970   0.1305  79.3750   0.4250   0.3070  -0.3120   0.1765   4.0500  -132.287286
64      0.0170   0.9510   0.0345  88.1250   0.4750  -0.1010   0.1840  -0.2965  -0.2500  -211.238704
65      0.0790   0.8770   0.1245  40.6250   0.1750  -0.1550   0.1360  -0.1975  -0.7500  -87.331580
66      0.0310   0.8850   0.2685  80.6250   0.4850   0.3610   0.6640  -0.1645  -3.1500  -106.706962
67      0.0610   0.8430   0.1965  71.8750   0.7050   0.0670  -0.4880  -0.2415   1.1500  -95.542289
68      0.1550   0.9410   0.0285   9.3750   0.5850   0.1570  -0.4080   0.2315   1.3500  -248.757013
69      0.1730   0.9970   0.1995  13.1250   0.3150   0.0610   0.2800  -0.0105   4.8500  -169.765401
70      0.1450   0.9590   0.0015 106.8750   0.4450   0.2110  -0.0560  -0.3185   4.4500  -503.909073
71      0.1950   0.9530   0.2865  35.6250   0.5050  -0.0830   0.5840   0.2865   2.7500  -158.099791
72      0.1110   0.9630   0.0945  28.1250   0.3350   0.1450   0.6320  -0.4945   3.3500  -148.907951
73      0.1490   0.9050   0.0675  49.3750   0.6950   0.0490  -0.3920  -0.1755  -0.9500  -141.107515
74      0.1050   0.8870   0.2385 128.1250   0.5450   0.3490  -0.5360   0.3855   1.4500  -131.277478
75      0.0150   0.9470   0.0075 115.6250   0.8550   0.1870   0.7760   0.2755  -2.6500  -507.053187
76      0.1750   0.8370   0.2325   6.8750   0.5750  -0.0590   0.1200   0.2095  -1.2500  -109.308491
77      0.1670   0.8210   0.0375  84.3750   0.7150   0.1150   0.7440  -0.3735   1.6500  -146.261241
78      0.0190   0.8630   0.1185 118.1250   0.5250   0.0010  -0.1680   0.0005   0.6500  -116.496917
79      0.0270   0.9950   0.1785  94.3750   0.0850   0.2230  -0.4400   0.4735   0.0500  -168.114720
80      0.0210   0.9790   0.2595  30.6250   0.6150  -0.1430   0.0880  -0.4175   4.5500  -119.340794
81      0.0410   0.8910   0.1365  78.1250   0.9450   0.2050  -0.0400   0.5065   3.7500  -149.387196
82      0.1930   0.8290   0.0195  16.8750   0.6450  -0.1730   0.3280   0.1435   1.2500  -245.544004
83      0.0570   0.8890   0.2625 111.8750   0.7350   0.3190   0.6480  -0.4725  -3.3500  -104.730340
84      0.0350   0.9850   0.0975  39.3750   0.0450   0.2590   0.3760  -0.2085  -1.7500  -131.243055
85      0.0290   0.8990   0.1695  51.8750   0.3050   0.1270   0.6000  -0.3405  -1.0500  -108.144922
86      0.1030   0.8310   0.2505  10.6250   0.6550   0.1990  -0.6800   0.3745  -1.4500  -113.278924
87      0.0990   0.9730   0.2715   5.6250   0.4050  -0.1130  -0.4560   0.3415   3.9500  -170.258978
88      0.0390   0.8130   0.0825  58.1250   0.9250   0.3250  -0.5200  -0.0215   2.3500  -112.894318
89      0.1970   0.8390   0.2145 124.3750   0.2050   0.3310  -0.2160   0.0775  -3.6500  -94.222711
90      0.1790   0.9830   0.0105  36.8750   0.8650  -0.1190   0.0240  -0.2855   3.2500  -429.438673
91      0.1710   0.8930   0.0405  85.6250   0.5950  -0.1310   0.2000  -0.2635   1.5500  -216.520980
92      0.0870   0.8190   0.0045  75.6250   0.9750   0.1210  -0.4720   0.3965   2.8500  -437.108486
93      0.1610   0.8730   0.1275   8.1250   0.0950   0.0430   0.3920   0.4075   4.1500  -134.350821
94      0.1590   0.9330   0.0225  34.3750   0.1450  -0.0650  -0.0080   0.4845  -3.9500  -310.283563
95      0.1510   0.9890   0.2985  48.1250   0.9650  -0.0170  -0.5680   0.1545  -4.6500  -170.117562
96      0.0650   0.9650   0.1335 120.6250   0.5550   0.2770   0.5360   0.0665  -2.4500  -162.271925
97      0.0510   0.8670   0.2415  73.1250   0.2750   0.3790   0.0400   0.0335  -2.0500  -103.336311
98      0.1210   0.9610   0.2535  54.3750   0.0650  -0.1610   0.4240   0.2975  -2.2500  -128.079553
99      0.1270   0.9370   0.0525  43.1250   0.1250   0.0970  -0.6480  -0.4615  -1.5500  -149.731806
100     0.1310   0.9990   0.1605  29.3750   0.2450   0.1030   0.2320   0.5395   0.1500  -204.887714
