 FLOW_OUT_11
observed          L95PPU         U95PPU         Best_Sim       M95PPU
39.101002       6.438000        6.438000        6.438000        6.438000       
38.669998       5.175000        5.175000        5.175000        5.175000       
38.169998       4.353000        4.353000        4.353000        4.353000       
33.557999       3.621000        3.621000        3.621000        3.621000       
31.643999       2.715000        2.715000        2.715000        2.715000       
27.139000       1.454000        1.454000        1.454000        1.454000       
25.888000       0.813900        0.813900        0.813900        0.813900       
24.920000       0.420300        0.420300        0.420300        0.420300       
23.982000       0.155600        0.155600        0.155600        0.155600       
25.944000       0.524300        0.524300        0.524300        0.524300       
31.285000       2.161000        2.161000        2.161000        2.161000       
31.142000       2.367000        2.367000        2.367000        2.367000       
45.556000       6.206000        6.206000        6.206000        6.206000       
57.931000       15.230000       15.230000       15.230000       15.230000      
55.271999       16.090000       16.090000       16.090000       16.090000      
38.816002       20.030001       20.030001       20.030001       20.030001      
32.389999       14.550000       14.550000       14.550000       14.550000      
29.174999       10.660000       10.660000       10.660000       10.660000      
28.226000       7.908000        7.908000        7.908000        7.908000       
26.870001       5.826000        5.826000        5.826000        5.826000       
25.316999       4.285000        4.285000        4.285000        4.285000       
26.731001       3.449000        3.449000        3.449000        3.449000       
29.132000       2.809000        2.809000        2.809000        2.809000       
36.962002       2.883000        2.883000        2.883000        2.883000       
38.546001       3.618000        3.618000        3.618000        3.618000       
44.169998       8.031000        8.031000        8.031000        8.031000       
50.110001       14.570000       14.570000       14.570000       14.570000      
39.770000       18.110001       18.110001       18.110001       18.110001      
38.894001       13.970000       13.970000       13.970000       13.970000      
31.542000       10.130000       10.130000       10.130000       10.130000      
29.650000       7.200000        7.200000        7.200000        7.200000       
27.747999       5.174000        5.174000        5.174000        5.174000       
25.094999       3.761000        3.761000        3.761000        3.761000       
24.465000       2.769000        2.769000        2.769000        2.769000       
37.102001       4.919000        4.919000        4.919000        4.919000       
39.724998       16.010000       16.010000       16.010000       16.010000      
30.923000       15.690000       15.690000       15.690000       15.690000      
35.981998       11.780000       11.780000       11.780000       11.780000      
41.710999       9.844000        9.844000        9.844000        9.844000       
46.068001       8.940000        8.940000        8.940000        8.940000       
32.943001       7.689000        7.689000        7.689000        7.689000       
28.551001       5.163000        5.163000        5.163000        5.163000       
27.225000       3.609000        3.609000        3.609000        3.609000       
25.593000       2.506000        2.506000        2.506000        2.506000       
25.450001       1.725000        1.725000        1.725000        1.725000       
27.284000       2.258000        2.258000        2.258000        2.258000       
36.118999       5.000000        5.000000        5.000000        5.000000       
34.514999       11.100000       11.100000       11.100000       11.100000      
34.671001       12.690000       12.690000       12.690000       12.690000      
48.237999       31.040001       31.040001       31.040001       31.040001      
33.868000       47.299999       47.299999       47.299999       47.299999      
29.944000       35.259998       35.259998       35.259998       35.259998      
26.687000       26.160000       26.160000       26.160000       26.160000      
22.958000       19.700001       19.700001       19.700001       19.700001      
21.856001       14.870000       14.870000       14.870000       14.870000      
21.181000       11.130000       11.130000       11.130000       11.130000      
20.125999       8.327000        8.327000        8.327000        8.327000       
20.525999       6.264000        6.264000        6.264000        6.264000       
23.566000       4.991000        4.991000        4.991000        4.991000       
29.472000       5.189000        5.189000        5.189000        5.189000       
30.615000       4.931000        4.931000        4.931000        4.931000       
42.367001       5.207000        5.207000        5.207000        5.207000       
38.313999       9.103000        9.103000        9.103000        9.103000       
35.664001       14.350000       14.350000       14.350000       14.350000      
28.576000       9.814000        9.814000        9.814000        9.814000       
23.125999       6.964000        6.964000        6.964000        6.964000       
21.763000       5.067000        5.067000        5.067000        5.067000       
20.969999       3.638000        3.638000        3.638000        3.638000       
21.016001       2.640000        2.640000        2.640000        2.640000       
20.893999       2.046000        2.046000        2.046000        2.046000       
27.030001       2.460000        2.460000        2.460000        2.460000       
41.118000       14.830000       14.830000       14.830000       14.830000      
37.300999       30.969999       30.969999       30.969999       30.969999      
36.291000       34.910000       34.910000       34.910000       34.910000      
36.757000       26.170000       26.170000       26.170000       26.170000      
43.547001       20.850000       20.850000       20.850000       20.850000      
43.250000       21.520000       21.520000       21.520000       21.520000      
30.500999       17.209999       17.209999       17.209999       17.209999      
26.181999       12.690000       12.690000       12.690000       12.690000      
23.787001       9.349000        9.349000        9.349000        9.349000       
22.958000       6.944000        6.944000        6.944000        6.944000       
34.928001       6.082000        6.082000        6.082000        6.082000       
39.754002       6.424000        6.424000        6.424000        6.424000       
40.980000       8.532000        8.532000        8.532000        8.532000       
39.073002       7.227000        7.227000        7.227000        7.227000       
30.885000       6.663000        6.663000        6.663000        6.663000       
45.794998       9.228000        9.228000        9.228000        9.228000       
33.939999       9.069000        9.069000        9.069000        9.069000       
26.995001       6.362000        6.362000        6.362000        6.362000       
25.511000       4.609000        4.609000        4.609000        4.609000       
23.162001       3.361000        3.361000        3.361000        3.361000       
22.565001       2.368000        2.368000        2.368000        2.368000       
21.368999       1.650000        1.650000        1.650000        1.650000       
27.766001       1.506000        1.506000        1.506000        1.506000       
38.243999       3.189000        3.189000        3.189000        3.189000       
43.542999       4.001000        4.001000        4.001000        4.001000       
44.250999       6.797000        6.797000        6.797000        6.797000       
40.950001       14.360000       14.360000       14.360000       14.360000      
45.111000       23.620001       23.620001       23.620001       23.620001      
41.702999       19.120001       19.120001       19.120001       19.120001      
27.951000       13.820000       13.820000       13.820000       13.820000      
26.728001       10.240000       10.240000       10.240000       10.240000      
25.136000       7.633000        7.633000        7.633000        7.633000       
23.472000       5.605000        5.605000        5.605000        5.605000       
21.789000       4.121000        4.121000        4.121000        4.121000       
28.944000       3.662000        3.662000        3.662000        3.662000       
34.535000       5.503000        5.503000        5.503000        5.503000       
40.973999       13.590000       13.590000       13.590000       13.590000      
46.376999       25.200001       25.200001       25.200001       25.200001      
41.504002       22.870001       22.870001       22.870001       22.870001      
33.542999       18.660000       18.660000       18.660000       18.660000      
28.990000       13.590000       13.590000       13.590000       13.590000      
27.362000       10.240000       10.240000       10.240000       10.240000      
25.448999       7.630000        7.630000        7.630000        7.630000       
24.167000       5.561000        5.561000        5.561000        5.561000       
23.264000       4.031000        4.031000        4.031000        4.031000       
22.080000       2.893000        2.893000        2.893000        2.893000       
22.818001       2.186000        2.186000        2.186000        2.186000       
37.645000       7.310000        7.310000        7.310000        7.310000       
34.028000       14.590000       14.590000       14.590000       14.590000      
37.719002       11.550000       11.550000       11.550000       11.550000      
29.992001       12.350000       12.350000       12.350000       12.350000      
34.737999       9.774000        9.774000        9.774000        9.774000       
33.845001       8.826000        8.826000        8.826000        8.826000       
25.747000       6.045000        6.045000        6.045000        6.045000       
24.082001       4.216000        4.216000        4.216000        4.216000       
22.695999       3.008000        3.008000        3.008000        3.008000       
21.177000       2.087000        2.087000        2.087000        2.087000       
20.362000       1.422000        1.422000        1.422000        1.422000       
21.948999       1.701000        1.701000        1.701000        1.701000       
24.504999       2.006000        2.006000        2.006000        2.006000       
40.344002       27.879999       27.879999       27.879999       27.879999      
33.551998       64.980003       64.980003       64.980003       64.980003      
36.403999       51.599998       51.599998       51.599998       51.599998      
37.502998       43.279999       43.279999       43.279999       43.279999      
37.639000       36.459999       36.459999       36.459999       36.459999      
27.775000       28.809999       28.809999       28.809999       28.809999      
24.083000       21.549999       21.549999       21.549999       21.549999      
22.226000       16.170000       16.170000       16.170000       16.170000      
20.796000       12.110000       12.110000       12.110000       12.110000      
20.271999       9.066000        9.066000        9.066000        9.066000       
20.260000       6.863000        6.863000        6.863000        6.863000       
29.143999       8.545000        8.545000        8.545000        8.545000       
42.660000       14.590000       14.590000       14.590000       14.590000      
29.181999       18.389999       18.389999       18.389999       18.389999      
37.284000       15.160000       15.160000       15.160000       15.160000      
34.646000       12.580000       12.580000       12.580000       12.580000      
46.584999       14.160000       14.160000       14.160000       14.160000      
43.487000       23.840000       23.840000       23.840000       23.840000      
28.082001       18.940001       18.940001       18.940001       18.940001      
25.462000       13.900000       13.900000       13.900000       13.900000      
24.552999       10.270000       10.270000       10.270000       10.270000      
23.500000       7.652000        7.652000        7.652000        7.652000       
24.636999       5.993000        5.993000        5.993000        5.993000       
29.135000       5.347000        5.347000        5.347000        5.347000       
59.139999       21.049999       21.049999       21.049999       21.049999      
33.796001       35.919998       35.919998       35.919998       35.919998      
31.132000       26.670000       26.670000       26.670000       26.670000      
26.259001       19.490000       19.490000       19.490000       19.490000      
24.844999       14.560000       14.560000       14.560000       14.560000      
24.414000       10.950000       10.950000       10.950000       10.950000      
23.980000       8.220000        8.220000        8.220000        8.220000       
23.266001       4.546000        4.546000        4.546000        4.546000       
25.183001       4.139000        4.139000        4.139000        4.139000       
25.850000       4.033000        4.033000        4.033000        4.033000       
27.261999       5.435000        5.435000        5.435000        5.435000       

p-factor= 0.03
r-factor= 0.00
R2= 0.13
Nash_Sutclif= -6.68


