Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_11     39.101002       6.438000        6.438000        6.438000       
FLOW_OUT_11     38.669998       5.175000        5.175000        5.175000       
FLOW_OUT_11     38.169998       4.353000        4.353000        4.353000       
FLOW_OUT_11     33.557999       3.621000        3.621000        3.621000       
FLOW_OUT_11     31.643999       2.715000        2.715000        2.715000       
FLOW_OUT_11     27.139000       1.454000        1.454000        1.454000       
FLOW_OUT_11     25.888000       0.813900        0.813900        0.813900       
FLOW_OUT_11     24.920000       0.420300        0.420300        0.420300       
FLOW_OUT_11     23.982000       0.155600        0.155600        0.155600       
FLOW_OUT_11     25.944000       0.524300        0.524300        0.524300       
FLOW_OUT_11     31.285000       2.161000        2.161000        2.161000       
FLOW_OUT_11     31.142000       2.367000        2.367000        2.367000       
FLOW_OUT_11     45.556000       6.206000        6.206000        6.206000       
FLOW_OUT_11     57.931000       15.230000       15.230000       15.230000      
FLOW_OUT_11     55.271999       16.090000       16.090000       16.090000      
FLOW_OUT_11     38.816002       20.030001       20.030001       20.030001      
FLOW_OUT_11     32.389999       14.550000       14.550000       14.550000      
FLOW_OUT_11     29.174999       10.660000       10.660000       10.660000      
FLOW_OUT_11     28.226000       7.908000        7.908000        7.908000       
FLOW_OUT_11     26.870001       5.826000        5.826000        5.826000       
FLOW_OUT_11     25.316999       4.285000        4.285000        4.285000       
FLOW_OUT_11     26.731001       3.449000        3.449000        3.449000       
FLOW_OUT_11     29.132000       2.809000        2.809000        2.809000       
FLOW_OUT_11     36.962002       2.883000        2.883000        2.883000       
FLOW_OUT_11     38.546001       3.618000        3.618000        3.618000       
FLOW_OUT_11     44.169998       8.031000        8.031000        8.031000       
FLOW_OUT_11     50.110001       14.570000       14.570000       14.570000      
FLOW_OUT_11     39.770000       18.110001       18.110001       18.110001      
FLOW_OUT_11     38.894001       13.970000       13.970000       13.970000      
FLOW_OUT_11     31.542000       10.130000       10.130000       10.130000      
FLOW_OUT_11     29.650000       7.200000        7.200000        7.200000       
FLOW_OUT_11     27.747999       5.174000        5.174000        5.174000       
FLOW_OUT_11     25.094999       3.761000        3.761000        3.761000       
FLOW_OUT_11     24.465000       2.769000        2.769000        2.769000       
FLOW_OUT_11     37.102001       4.919000        4.919000        4.919000       
FLOW_OUT_11     39.724998       16.010000       16.010000       16.010000      
FLOW_OUT_11     30.923000       15.690000       15.690000       15.690000      
FLOW_OUT_11     35.981998       11.780000       11.780000       11.780000      
FLOW_OUT_11     41.710999       9.844000        9.844000        9.844000       
FLOW_OUT_11     46.068001       8.940000        8.940000        8.940000       
FLOW_OUT_11     32.943001       7.689000        7.689000        7.689000       
FLOW_OUT_11     28.551001       5.163000        5.163000        5.163000       
FLOW_OUT_11     27.225000       3.609000        3.609000        3.609000       
FLOW_OUT_11     25.593000       2.506000        2.506000        2.506000       
FLOW_OUT_11     25.450001       1.725000        1.725000        1.725000       
FLOW_OUT_11     27.284000       2.258000        2.258000        2.258000       
FLOW_OUT_11     36.118999       5.000000        5.000000        5.000000       
FLOW_OUT_11     34.514999       11.100000       11.100000       11.100000      
FLOW_OUT_11     34.671001       12.690000       12.690000       12.690000      
FLOW_OUT_11     48.237999       31.040001       31.040001       31.040001      
FLOW_OUT_11     33.868000       47.299999       47.299999       47.299999      
FLOW_OUT_11     29.944000       35.259998       35.259998       35.259998      
FLOW_OUT_11     26.687000       26.160000       26.160000       26.160000      
FLOW_OUT_11     22.958000       19.700001       19.700001       19.700001      
FLOW_OUT_11     21.856001       14.870000       14.870000       14.870000      
FLOW_OUT_11     21.181000       11.130000       11.130000       11.130000      
FLOW_OUT_11     20.125999       8.327000        8.327000        8.327000       
FLOW_OUT_11     20.525999       6.264000        6.264000        6.264000       
FLOW_OUT_11     23.566000       4.991000        4.991000        4.991000       
FLOW_OUT_11     29.472000       5.189000        5.189000        5.189000       
FLOW_OUT_11     30.615000       4.931000        4.931000        4.931000       
FLOW_OUT_11     42.367001       5.207000        5.207000        5.207000       
FLOW_OUT_11     38.313999       9.103000        9.103000        9.103000       
FLOW_OUT_11     35.664001       14.350000       14.350000       14.350000      
FLOW_OUT_11     28.576000       9.814000        9.814000        9.814000       
FLOW_OUT_11     23.125999       6.964000        6.964000        6.964000       
FLOW_OUT_11     21.763000       5.067000        5.067000        5.067000       
FLOW_OUT_11     20.969999       3.638000        3.638000        3.638000       
FLOW_OUT_11     21.016001       2.640000        2.640000        2.640000       
FLOW_OUT_11     20.893999       2.046000        2.046000        2.046000       
FLOW_OUT_11     27.030001       2.460000        2.460000        2.460000       
FLOW_OUT_11     41.118000       14.830000       14.830000       14.830000      
FLOW_OUT_11     37.300999       30.969999       30.969999       30.969999      
FLOW_OUT_11     36.291000       34.910000       34.910000       34.910000      
FLOW_OUT_11     36.757000       26.170000       26.170000       26.170000      
FLOW_OUT_11     43.547001       20.850000       20.850000       20.850000      
FLOW_OUT_11     43.250000       21.520000       21.520000       21.520000      
FLOW_OUT_11     30.500999       17.209999       17.209999       17.209999      
FLOW_OUT_11     26.181999       12.690000       12.690000       12.690000      
FLOW_OUT_11     23.787001       9.349000        9.349000        9.349000       
FLOW_OUT_11     22.958000       6.944000        6.944000        6.944000       
FLOW_OUT_11     34.928001       6.082000        6.082000        6.082000       
FLOW_OUT_11     39.754002       6.424000        6.424000        6.424000       
FLOW_OUT_11     40.980000       8.532000        8.532000        8.532000       
FLOW_OUT_11     39.073002       7.227000        7.227000        7.227000       
FLOW_OUT_11     30.885000       6.663000        6.663000        6.663000       
FLOW_OUT_11     45.794998       9.228000        9.228000        9.228000       
FLOW_OUT_11     33.939999       9.069000        9.069000        9.069000       
FLOW_OUT_11     26.995001       6.362000        6.362000        6.362000       
FLOW_OUT_11     25.511000       4.609000        4.609000        4.609000       
FLOW_OUT_11     23.162001       3.361000        3.361000        3.361000       
FLOW_OUT_11     22.565001       2.368000        2.368000        2.368000       
FLOW_OUT_11     21.368999       1.650000        1.650000        1.650000       
FLOW_OUT_11     27.766001       1.506000        1.506000        1.506000       
