
FLOW_OUT_11
observed    simulated
39.1010       6.4380      
38.6700       5.1750      
38.1700       4.3530      
33.5580       3.6210      
31.6440       2.7150      
27.1390       1.4540      
25.8880       0.8139      
24.9200       0.4203      
23.9820       0.1556      
25.9440       0.5243      
31.2850       2.1610      
31.1420       2.3670      
45.5560       6.2060      
57.9310       15.2300     
55.2720       16.0900     
38.8160       20.0300     
32.3900       14.5500     
29.1750       10.6600     
28.2260       7.9080      
26.8700       5.8260      
25.3170       4.2850      
26.7310       3.4490      
29.1320       2.8090      
36.9620       2.8830      
38.5460       3.6180      
44.1700       8.0310      
50.1100       14.5700     
39.7700       18.1100     
38.8940       13.9700     
31.5420       10.1300     
29.6500       7.2000      
27.7480       5.1740      
25.0950       3.7610      
24.4650       2.7690      
37.1020       4.9190      
39.7250       16.0100     
30.9230       15.6900     
35.9820       11.7800     
41.7110       9.8440      
46.0680       8.9400      
32.9430       7.6890      
28.5510       5.1630      
27.2250       3.6090      
25.5930       2.5060      
25.4500       1.7250      
27.2840       2.2580      
36.1190       5.0000      
34.5150       11.1000     
34.6710       12.6900     
48.2380       31.0400     
33.8680       47.3000     
29.9440       35.2600     
26.6870       26.1600     
22.9580       19.7000     
21.8560       14.8700     
21.1810       11.1300     
20.1260       8.3270      
20.5260       6.2640      
23.5660       4.9910      
29.4720       5.1890      
30.6150       4.9310      
42.3670       5.2070      
38.3140       9.1030      
35.6640       14.3500     
28.5760       9.8140      
23.1260       6.9640      
21.7630       5.0670      
20.9700       3.6380      
21.0160       2.6400      
20.8940       2.0460      
27.0300       2.4600      
41.1180       14.8300     
37.3010       30.9700     
36.2910       34.9100     
36.7570       26.1700     
43.5470       20.8500     
43.2500       21.5200     
30.5010       17.2100     
26.1820       12.6900     
23.7870       9.3490      
22.9580       6.9440      
34.9280       6.0820      
39.7540       6.4240      
40.9800       8.5320      
39.0730       7.2270      
30.8850       6.6630      
45.7950       9.2280      
33.9400       9.0690      
26.9950       6.3620      
25.5110       4.6090      
23.1620       3.3610      
22.5650       2.3680      
21.3690       1.6500      
27.7660       1.5060      
38.2440       3.1890      
43.5430       4.0010      
44.2510       6.7970      
40.9500       14.3600     
45.1110       23.6200     
41.7030       19.1200     
27.9510       13.8200     
26.7280       10.2400     
25.1360       7.6330      
23.4720       5.6050      
21.7890       4.1210      
28.9440       3.6620      
34.5350       5.5030      
40.9740       13.5900     
46.3770       25.2000     
41.5040       22.8700     
33.5430       18.6600     
28.9900       13.5900     
27.3620       10.2400     
25.4490       7.6300      
24.1670       5.5610      
23.2640       4.0310      
22.0800       2.8930      
22.8180       2.1860      
37.6450       7.3100      
34.0280       14.5900     
37.7190       11.5500     
29.9920       12.3500     
34.7380       9.7740      
33.8450       8.8260      
25.7470       6.0450      
24.0820       4.2160      
22.6960       3.0080      
21.1770       2.0870      
20.3620       1.4220      
21.9490       1.7010      
24.5050       2.0060      
40.3440       27.8800     
33.5520       64.9800     
36.4040       51.6000     
37.5030       43.2800     
37.6390       36.4600     
27.7750       28.8100     
24.0830       21.5500     
22.2260       16.1700     
20.7960       12.1100     
20.2720       9.0660      
20.2600       6.8630      
29.1440       8.5450      
42.6600       14.5900     
29.1820       18.3900     
37.2840       15.1600     
34.6460       12.5800     
46.5850       14.1600     
43.4870       23.8400     
28.0820       18.9400     
25.4620       13.9000     
24.5530       10.2700     
23.5000       7.6520      
24.6370       5.9930      
29.1350       5.3470      
59.1400       21.0500     
33.7960       35.9200     
31.1320       26.6700     
26.2590       19.4900     
24.8450       14.5600     
24.4140       10.9500     
23.9800       8.2200      
23.2660       4.5460      
25.1830       4.1390      
25.8500       4.0330      
27.2620       5.4350      

